accession_number	call_number	title	author	book_place	book_publisher	year	book_edition	description	book_isbn	book_supplementary	subject
7914	A 536 M4661 1908	On liberty: Man the sate	"Mayer, Milton "	California	The Center for the Study of Democratic Institutions	1969	NA	192 pages ; 21 cm	NA		"State, The. Liberty."
2239	AC 1  M1781 1995 c.1	American History Volume II	"Maddox, Robert James"	USA	The Dushkin Publishing Data	1995	13th	na	1561343455		United States--History--Periodicals. Historiography.  civilization
3316	AC 1 M1781 1995 c.2	American History Volume II	"Maddox, Robert James "	USA	The Dushkin Publishing Data	1995	13th	na	1561343455		" History, Historiography, Civilization"
7171	AE 5 C683 2005	Collins Encyclopedia Volume 1 A - Be		London	Harper Collins Publishers	2005	Book Club Edition	N/A	N/A		Astronomy -- Encyclopedias. Space sciences -- Encylopedias.
1325	AE 5 C7392 1970 v.22	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	22nd	NA	944262023		Encyclopedia
1304	AE 5 C7392 1995 v.1	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	1st	NA	944262023		Encyclopedia
1313	AE 5 C7392 1995 v.10	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	10th	NA	9442620236		Encyclopedia
1314	AE 5 C7392 1995 v.11	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	11th	NA	9442620236		Encyclopedia
1315	AE 5 C7392 1995 v.12	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	12th	NA	944262023		Encyclopedia
1316	AE 5 C7392 1995 v.13	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	13th	NA	944262023		Encyclopedia
1317	AE 5 C7392 1995 v.14	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	14th	NA	944262023		Encyclopedia
1318	AE 5 C7392 1995 v.15	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	15th	NA	944262023		Encyclopedia
1319	AE 5 C7392 1995 v.16	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	16th	NA	944262023		Encyclopedia
1320	AE 5 C7392 1995 v.17	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	17th	NA	944262023		Encyclopedia
1321	AE 5 C7392 1995 v.18	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	18th	NA	944262023		Encyclopedia
1322	AE 5 C7392 1995 v.19	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	19th	NA	944262023		Encyclopedia
1305	AE 5 C7392 1995 v.2	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	2nd	NA	944262023		Encyclopedia
1323	AE 5 C7392 1995 v.20	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	20th	NA	944262023		Encyclopedia
1324	AE 5 C7392 1995 v.21	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	21st	NA	944262023		Encyclopedia
1326	AE 5 C7392 1995 v.23	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	23rd	NA	944262023		Encyclopedia
1327	AE 5 C7392 1995 v.24	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	24th	NA	944262023		Encyclopedia
1328	AE 5 C7392 1995 v.25	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	25th	NA	944262023		Encyclopedia
1329	AE 5 C7392 1995 v.26	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	26th	NA	944262023		Encyclopedia
1306	AE 5 C7392 1995 v.3	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	3rd	NA	944262023		Encyclopedia
1307	AE 5 C7392 1995 v.4	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	4th	NA	944262023		Encyclopedia
1308	AE 5 C7392 1995 v.5	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	5th	NA	944262023		Encyclopedia
1309	AE 5 C7392 1995 v.6	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	6th	NA	944262023		Encyclopedia
1310	AE 5 C7392 1995 v.7	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	7th	NA	944262023		Encyclopedia
1311	AE 5 C7392 1995 v.8	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	8th	NA	944262023		Encyclopedia
1312	AE 5 C7392 1995 v.9	Compton's encyclopedia		United States of America	Compton's Learning Company	1995	9th	NA	944262023		Encyclopedia
1345	AE 5 G875  2002 v.16	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	16th	NA	071720153X		Encyclopedia
1330	AE 5 G875 2002 v.1	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	1st	NA	071720153X		Encyclopedia
1339	AE 5 G875 2002 v.10	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	10th	NA	071720153X		Encyclopedia
1340	AE 5 G875 2002 v.11	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	11th	NA	071720153X		Encyclopedia
1341	AE 5 G875 2002 v.12	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	12th	NA	071720153X		Encyclopedia
1342	AE 5 G875 2002 v.13	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	13th	NA	071720153X		Encyclopedia
1343	AE 5 G875 2002 v.14	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	14th	NA	071720153X		Encyclopedia
1344	AE 5 G875 2002 v.15	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	15th	NA	071720153X		Encyclopedia
1346	AE 5 G875 2002 v.17	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	17th	NA	071720153X		Encyclopedia
1347	AE 5 G875 2002 v.18	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	18th	NA	071720153X		Encyclopedia
1348	AE 5 G875 2002 v.19	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	19th	NA	071720153X		Encyclopedia
1331	AE 5 G875 2002 v.2	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	2nd	NA	071720153X		Encyclopedia
1349	AE 5 G875 2002 v.20	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	20th	NA	071720153X		Encyclopedia
1350	AE 5 G875 2002 v.21	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	21th	NA	071720153X		Encyclopedia
